
 Lista de Imóveis da Caixa;;Data de geração:;27/10/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8555513904398 ;AL ;CORURIPE ;Alto do Cruzeiro ; RUA PROJETADA C, N. SN, AREA 59 ;145.728,47;238.000,00;38.77;Casa, 106.82 de área total, 106.82 de área privativa, 127.50 de área do terreno,  3 qto(s), varanda, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555513904398
 8787701528641 ;AL ;CORURIPE ;LT BELA TERRA ;RODOVIA ENGENHEIRO GUTTEMBERG BREDA NETO, N. 80, ROD. AL-101 SUL LT 03 QD B ;107.152,32;100.000,00;0.00;Casa, 66.85 de área total, 66.85 de área privativa, 142.50 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701528641
 8444417401486 ;AL ;FEIRA GRANDE ;CENTRO ; RUA PROJETADA 08, N. 39, F06 ;87.819,45;150.000,00;41.46;Casa, 0.00 de área total, 73.25 de área privativa, 168.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417401486
 8444424033160 ;AL ;FLEXEIRAS ;FLEXEIRAS ;RUA JOSE GOMES DE LIMA, N. SN, . ;41.475,68;112.000,00;62.97;Casa, 0.00 de área total, 74.13 de área privativa, 77.43 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424033160
 8444417439378 ;AL ;GIRAU DO PONCIANO ;COLINAS ARIZONA I ; RUA PROJETADA 18, N. 181, LT 01 QD II ;75.305,50;130.000,00;42.08;Casa, 81.95 de área total, 81.95 de área privativa, 424.49 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417439378
 8444429995963 ;AL ;GIRAU DO PONCIANO ;ZONA URBANA ;RUA PROJETADA 08, N. 75, LT 14 QD BB ;86.648,52;148.000,00;41.46;Casa, 0.00 de área total, 82.84 de área privativa, 189.87 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429995963
 8444427060835 ;AL ;JARAMATAIA ;POVOADO CAMPO ALEGRE ;RUA PROJETADA, N. 7, . ;53.999,76;105.000,00;48.58;Casa, 0.00 de área total, 73.72 de área privativa, 97.77 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427060835
 8444426489854 ;AL ;JARAMATAIA ;POVOADO CAMPO ALEGRE ; RUA PROJETADA, N. 01, ;65.921,81;115.000,00;42.68;Casa, 73.72 de área total, 73.72 de área privativa, 99.63 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426489854
 8444427280312 ;AL ;JARAMATAIA ;POVOADO CAMPO ALEGRE ; RUA PROJETADA 05, N. 05, ;55.207,18;95.362,72;42.11;Casa, 73.72 de área total, 73.72 de área privativa, 92.34 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427280312
 8444401632548 ;AL ;JUNQUEIRO ;CENTRO ;RUA EM PROJETO, N. 70, Apto ., . ;57.466,04;130.000,00;55.80;Casa, 0.00 de área total, 74.88 de área privativa, 126.75 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401632548
